InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalPrice
103062,P1004,Noise Cancelling Headphones,2,2023-08-15,120.0,10063,Germany,240.0
103062,P1005,HD Webcam,2,2023-04-10,65.0,10463,France,130.0
103062,P1009,USB-C Hub,2,2024-08-29,45.0,10156,Singapore,90.0
103063,P1007,Gaming Mousepad,4,2023-11-29,18.75,11516,Germany,75.0
103063,P1008,External SSD 1TB,4,2023-08-12,140.0,11975,USA,560.0
103064,P1003,Laptop Stand,1,2023-03-04,35.0,11158,USA,35.0
103064,P1004,Noise Cancelling Headphones,4,2023-07-29,120.0,10683,Singapore,480.0
103065,P1007,Gaming Mousepad,2,2023-08-24,18.75,10364,Netherlands,37.5
103065,P1004,Noise Cancelling Headphones,4,2024-01-01,120.0,10698,USA,480.0
103066,P1002,USB Keyboard,4,2023-12-02,25.5,10553,France,102.0
103067,P1010,Ergonomic Chair Cushion,4,2024-08-21,30.0,10869,USA,120.0
103068,P1006,Bluetooth Speaker,3,2024-02-19,55.0,10635,Singapore,165.0
103068,P1009,USB-C Hub,4,2023-08-31,45.0,11651,India,180.0
103068,P1002,USB Keyboard,3,2024-03-12,25.5,11994,India,76.5
103068,P1001,Wireless Mouse,2,2024-07-09,15.99,11169,United Kingdom,31.98
103069,P1008,External SSD 1TB,1,2024-02-17,140.0,10044,United Kingdom,140.0
103069,P1001,Wireless Mouse,5,2024-07-14,15.99,10953,Netherlands,79.95
103070,P1001,Wireless Mouse,1,2023-03-21,15.99,10793,UAE,15.99
103071,P1003,Laptop Stand,5,2023-02-26,35.0,11656,USA,175.0
103071,P1005,HD Webcam,2,2024-09-19,65.0,10524,USA,130.0
103072,P1009,USB-C Hub,3,2024-08-23,45.0,10291,United Kingdom,135.0
103072,P1010,Ergonomic Chair Cushion,4,2024-02-25,30.0,10490,France,120.0
103072,P1002,USB Keyboard,3,2024-11-18,25.5,10065,UAE,76.5
103073,P1001,Wireless Mouse,5,2023-12-05,15.99,11568,UAE,79.95
103073,P1001,Wireless Mouse,4,2023-09-02,15.99,10923,France,63.96
103073,P1008,External SSD 1TB,5,2023-05-02,140.0,10762,Netherlands,700.0
103074,P1010,Ergonomic Chair Cushion,5,2024-09-30,30.0,10341,France,150.0
103074,P1010,Ergonomic Chair Cushion,4,2023-04-06,30.0,11069,Netherlands,120.0
103074,P1010,Ergonomic Chair Cushion,1,2024-09-17,30.0,11942,Netherlands,30.0
103075,P1002,USB Keyboard,1,2024-09-04,25.5,10534,UAE,25.5
103075,P1009,USB-C Hub,5,2024-11-29,45.0,11380,United Kingdom,225.0
103075,P1009,USB-C Hub,2,2024-09-06,45.0,11963,UAE,90.0
103075,P1002,USB Keyboard,3,2023-05-23,25.5,10934,India,76.5
103076,P1003,Laptop Stand,1,2023-07-03,35.0,11844,Netherlands,35.0
103076,P1002,USB Keyboard,4,2024-08-13,25.5,10239,France,102.0
103077,P1006,Bluetooth Speaker,5,2023-12-06,55.0,11886,USA,275.0
103077,P1007,Gaming Mousepad,3,2024-07-25,18.75,11174,UAE,56.25
103077,P1006,Bluetooth Speaker,3,2023-10-02,55.0,10436,Germany,165.0
103078,P1003,Laptop Stand,5,2024-03-12,35.0,11223,Germany,175.0
103079,P1003,Laptop Stand,3,2024-10-30,35.0,11630,UAE,105.0
103079,P1002,USB Keyboard,2,2024-12-02,25.5,10464,Netherlands,51.0
103079,P1002,USB Keyboard,5,2024-09-21,25.5,11505,Singapore,127.5
103080,P1005,HD Webcam,3,2024-10-28,65.0,11004,United Kingdom,195.0
103080,P1008,External SSD 1TB,3,2023-04-20,140.0,11174,Singapore,420.0
103080,P1006,Bluetooth Speaker,1,2023-10-19,55.0,11072,France,55.0
103081,P1009,USB-C Hub,3,2024-12-09,45.0,11766,United Kingdom,135.0
103081,P1005,HD Webcam,3,2024-02-08,65.0,11832,Germany,195.0
103081,P1010,Ergonomic Chair Cushion,1,2024-07-13,30.0,11842,India,30.0
103082,P1004,Noise Cancelling Headphones,5,2024-03-30,120.0,10411,USA,600.0
103082,P1009,USB-C Hub,1,2023-12-20,45.0,11550,France,45.0
103082,P1010,Ergonomic Chair Cushion,4,2024-11-28,30.0,11428,UAE,120.0
103082,P1005,HD Webcam,4,2024-04-20,65.0,11413,Netherlands,260.0
103083,P1001,Wireless Mouse,2,2023-10-22,15.99,10391,United Kingdom,31.98
103084,P1005,HD Webcam,3,2024-09-13,65.0,10032,India,195.0
103084,P1005,HD Webcam,4,2023-12-08,65.0,10148,Netherlands,260.0
103085,P1005,HD Webcam,5,2024-02-29,65.0,10340,Germany,325.0
103086,P1002,USB Keyboard,5,2024-03-18,25.5,10329,France,127.5
103086,P1006,Bluetooth Speaker,4,2024-03-12,55.0,10871,USA,220.0
103087,P1005,HD Webcam,1,2024-03-22,65.0,10323,Germany,65.0
103087,P1002,USB Keyboard,2,2024-11-11,25.5,11672,Netherlands,51.0
103087,P1010,Ergonomic Chair Cushion,1,2024-05-12,30.0,11245,United Kingdom,30.0
103087,P1008,External SSD 1TB,2,2024-06-25,140.0,11652,UAE,280.0
103088,P1006,Bluetooth Speaker,4,2023-11-07,55.0,10027,USA,220.0
103088,P1010,Ergonomic Chair Cushion,1,2023-08-01,30.0,11245,UAE,30.0
103088,P1003,Laptop Stand,4,2024-11-10,35.0,11366,Singapore,140.0
103088,P1009,USB-C Hub,2,2024-04-01,45.0,11879,USA,90.0
103089,P1004,Noise Cancelling Headphones,5,2024-02-01,120.0,10841,France,600.0
103089,P1003,Laptop Stand,1,2024-03-05,35.0,10933,Singapore,35.0
103089,P1007,Gaming Mousepad,4,2024-01-10,18.75,11490,India,75.0
103089,P1008,External SSD 1TB,2,2024-08-31,140.0,10105,Singapore,280.0
103090,P1007,Gaming Mousepad,5,2024-08-24,18.75,10352,United Kingdom,93.75
103090,P1001,Wireless Mouse,1,2024-05-27,15.99,11176,France,15.99
103090,P1001,Wireless Mouse,2,2024-11-30,15.99,11556,France,31.98
103090,P1005,HD Webcam,1,2024-05-28,65.0,11939,Germany,65.0
103091,P1008,External SSD 1TB,1,2023-10-19,140.0,10527,United Kingdom,140.0
103091,P1010,Ergonomic Chair Cushion,3,2023-06-22,30.0,11281,Singapore,90.0
103092,P1003,Laptop Stand,4,2024-04-22,35.0,11326,India,140.0
103092,P1008,External SSD 1TB,3,2024-08-14,140.0,10803,Singapore,420.0
103092,P1003,Laptop Stand,1,2024-10-10,35.0,10164,UAE,35.0
103093,P1004,Noise Cancelling Headphones,2,2023-06-16,120.0,10394,USA,240.0
103093,P1010,Ergonomic Chair Cushion,4,2023-02-24,30.0,10112,Singapore,120.0
103094,P1007,Gaming Mousepad,2,2024-03-18,18.75,10646,USA,37.5
103095,P1003,Laptop Stand,2,2024-08-13,35.0,10767,United Kingdom,70.0
103095,P1004,Noise Cancelling Headphones,5,2023-09-17,120.0,10552,Singapore,600.0
103095,P1008,External SSD 1TB,1,2024-09-26,140.0,11798,United Kingdom,140.0
103095,P1004,Noise Cancelling Headphones,2,2024-06-06,120.0,11588,Netherlands,240.0
103096,P1009,USB-C Hub,1,2024-05-10,45.0,11866,Germany,45.0
103096,P1004,Noise Cancelling Headphones,3,2023-01-22,120.0,10625,USA,360.0
103096,P1004,Noise Cancelling Headphones,3,2023-07-12,120.0,10318,Netherlands,360.0
103096,P1005,HD Webcam,2,2023-02-23,65.0,11723,USA,130.0
103097,P1001,Wireless Mouse,1,2024-05-29,15.99,11704,France,15.99
103098,P1007,Gaming Mousepad,5,2024-04-24,18.75,10346,UAE,93.75
103098,P1009,USB-C Hub,4,2024-12-26,45.0,10544,India,180.0
103099,P1009,USB-C Hub,3,2024-11-27,45.0,11543,UAE,135.0
103099,P1001,Wireless Mouse,3,2024-06-07,15.99,11479,United Kingdom,47.97
103099,P1006,Bluetooth Speaker,5,2024-09-27,55.0,11024,Netherlands,275.0
103100,P1003,Laptop Stand,2,2024-12-06,35.0,10316,Germany,70.0
103100,P1004,Noise Cancelling Headphones,3,2023-01-08,120.0,10799,Germany,360.0
103100,P1008,External SSD 1TB,3,2024-08-15,140.0,10478,Netherlands,420.0
103101,P1004,Noise Cancelling Headphones,4,2023-10-27,120.0,10386,USA,480.0
103102,P1008,External SSD 1TB,5,2024-12-05,140.0,11492,Germany,700.0
103102,P1004,Noise Cancelling Headphones,5,2023-05-01,120.0,10452,France,600.0
103102,P1009,USB-C Hub,1,2023-10-23,45.0,11195,USA,45.0
103103,P1006,Bluetooth Speaker,5,2023-12-08,55.0,10869,Singapore,275.0
103103,P1001,Wireless Mouse,4,2024-06-30,15.99,10909,France,63.96
103104,P1010,Ergonomic Chair Cushion,5,2024-02-28,30.0,11969,United Kingdom,150.0
103104,P1002,USB Keyboard,1,2023-11-18,25.5,10023,India,25.5
103105,P1007,Gaming Mousepad,4,2023-05-03,18.75,11247,UAE,75.0
103106,P1010,Ergonomic Chair Cushion,3,2024-09-29,30.0,10975,United Kingdom,90.0
103106,P1007,Gaming Mousepad,2,2023-01-18,18.75,11777,India,37.5
103107,P1003,Laptop Stand,3,2024-08-04,35.0,11996,France,105.0
103107,P1001,Wireless Mouse,1,2023-02-03,15.99,11972,Germany,15.99
103107,P1008,External SSD 1TB,4,2023-01-12,140.0,11175,Netherlands,560.0
103107,P1010,Ergonomic Chair Cushion,3,2023-10-04,30.0,10264,Netherlands,90.0
103108,P1010,Ergonomic Chair Cushion,1,2023-03-01,30.0,10240,France,30.0
103109,P1007,Gaming Mousepad,3,2024-04-18,18.75,10847,Singapore,56.25
103109,P1010,Ergonomic Chair Cushion,2,2024-10-01,30.0,11258,UAE,60.0
103110,P1008,External SSD 1TB,3,2023-09-23,140.0,11279,Singapore,420.0
103111,P1001,Wireless Mouse,3,2024-06-11,15.99,11835,USA,47.97
103111,P1003,Laptop Stand,3,2024-12-19,35.0,10492,France,105.0
103111,P1002,USB Keyboard,1,2024-02-09,25.5,11575,USA,25.5
103112,P1001,Wireless Mouse,4,2023-03-02,15.99,11752,USA,63.96
103112,P1005,HD Webcam,5,2023-10-26,65.0,10910,India,325.0
103113,P1003,Laptop Stand,1,2023-01-16,35.0,11437,UAE,35.0
103113,P1010,Ergonomic Chair Cushion,5,2024-11-28,30.0,10169,France,150.0
103113,P1008,External SSD 1TB,5,2023-01-11,140.0,10268,India,700.0
103113,P1006,Bluetooth Speaker,3,2023-07-31,55.0,11979,Germany,165.0
103114,P1010,Ergonomic Chair Cushion,2,2024-01-12,30.0,11899,India,60.0
103114,P1009,USB-C Hub,5,2024-02-04,45.0,10532,United Kingdom,225.0
103115,P1009,USB-C Hub,5,2023-06-10,45.0,10869,Singapore,225.0
103116,P1006,Bluetooth Speaker,3,2023-03-27,55.0,10334,India,165.0
103117,P1002,USB Keyboard,2,2024-04-17,25.5,10640,Germany,51.0
103117,P1009,USB-C Hub,3,2023-06-10,45.0,10569,France,135.0
103118,P1002,USB Keyboard,5,2024-09-04,25.5,11527,India,127.5
103118,P1003,Laptop Stand,1,2024-05-18,35.0,11679,USA,35.0
103118,P1006,Bluetooth Speaker,5,2024-09-01,55.0,11912,India,275.0
103118,P1002,USB Keyboard,1,2023-05-23,25.5,11436,Germany,25.5
103119,P1005,HD Webcam,4,2023-11-17,65.0,10086,Germany,260.0
103119,P1002,USB Keyboard,2,2023-04-26,25.5,11264,Netherlands,51.0
103119,P1004,Noise Cancelling Headphones,4,2024-06-27,120.0,10978,Germany,480.0
103119,P1003,Laptop Stand,3,2023-10-19,35.0,11442,Netherlands,105.0
103120,P1005,HD Webcam,5,2023-04-10,65.0,11648,France,325.0
103120,P1006,Bluetooth Speaker,4,2023-11-08,55.0,11658,Netherlands,220.0
103120,P1007,Gaming Mousepad,2,2024-08-22,18.75,11720,India,37.5
103120,P1010,Ergonomic Chair Cushion,1,2023-05-11,30.0,10367,UAE,30.0
103121,P1008,External SSD 1TB,1,2023-05-22,140.0,10026,Germany,140.0
103122,P1009,USB-C Hub,3,2024-04-24,45.0,10059,United Kingdom,135.0
103122,P1004,Noise Cancelling Headphones,3,2024-04-04,120.0,11377,India,360.0
103123,P1004,Noise Cancelling Headphones,5,2023-09-04,120.0,11642,Netherlands,600.0
103123,P1007,Gaming Mousepad,4,2023-04-05,18.75,11391,UAE,75.0
103123,P1010,Ergonomic Chair Cushion,5,2024-06-29,30.0,11081,Singapore,150.0
103124,P1010,Ergonomic Chair Cushion,1,2023-08-11,30.0,11286,Germany,30.0
103125,P1009,USB-C Hub,1,2023-02-05,45.0,11611,Singapore,45.0
103125,P1002,USB Keyboard,4,2024-11-05,25.5,10431,Netherlands,102.0
103125,P1006,Bluetooth Speaker,5,2024-06-27,55.0,11319,UAE,275.0
103125,P1010,Ergonomic Chair Cushion,3,2024-05-27,30.0,10751,UAE,90.0
103126,P1010,Ergonomic Chair Cushion,4,2024-05-09,30.0,11801,UAE,120.0
103126,P1008,External SSD 1TB,3,2023-08-20,140.0,10917,United Kingdom,420.0
103127,P1005,HD Webcam,4,2023-11-27,65.0,11952,Germany,260.0
103127,P1005,HD Webcam,3,2023-03-16,65.0,10587,India,195.0
103127,P1008,External SSD 1TB,2,2024-10-26,140.0,11342,India,280.0
103127,P1001,Wireless Mouse,1,2023-11-16,15.99,10859,India,15.99
103128,P1006,Bluetooth Speaker,4,2023-05-05,55.0,10276,France,220.0
103128,P1010,Ergonomic Chair Cushion,2,2023-07-10,30.0,10871,France,60.0
103128,P1009,USB-C Hub,4,2024-12-25,45.0,10805,Netherlands,180.0
103129,P1006,Bluetooth Speaker,1,2024-04-27,55.0,11072,Netherlands,55.0
103129,P1007,Gaming Mousepad,1,2023-03-17,18.75,11102,France,18.75
103129,P1004,Noise Cancelling Headphones,3,2023-02-21,120.0,11311,USA,360.0
103129,P1010,Ergonomic Chair Cushion,1,2024-03-05,30.0,10069,France,30.0
103130,P1001,Wireless Mouse,1,2023-07-24,15.99,10288,USA,15.99
103130,P1009,USB-C Hub,1,2023-07-14,45.0,10082,France,45.0
103130,P1006,Bluetooth Speaker,5,2024-03-06,55.0,10497,United Kingdom,275.0
103130,P1003,Laptop Stand,5,2024-02-22,35.0,10737,India,175.0
103131,P1004,Noise Cancelling Headphones,1,2023-10-03,120.0,10157,USA,120.0
103131,P1010,Ergonomic Chair Cushion,5,2024-11-09,30.0,10026,Germany,150.0
103131,P1006,Bluetooth Speaker,4,2024-07-17,55.0,10281,UAE,220.0
103132,P1006,Bluetooth Speaker,2,2024-07-15,55.0,10823,Singapore,110.0
103132,P1009,USB-C Hub,2,2023-03-09,45.0,10598,Netherlands,90.0
103133,P1004,Noise Cancelling Headphones,5,2023-02-10,120.0,11982,UAE,600.0
103134,P1005,HD Webcam,2,2024-03-02,65.0,10698,UAE,130.0
103134,P1005,HD Webcam,5,2023-03-12,65.0,11691,USA,325.0
103135,P1003,Laptop Stand,3,2023-10-30,35.0,11027,France,105.0
103135,P1002,USB Keyboard,1,2024-08-01,25.5,11738,UAE,25.5
103135,P1008,External SSD 1TB,2,2024-07-11,140.0,10404,Singapore,280.0
103136,P1010,Ergonomic Chair Cushion,1,2023-02-10,30.0,10840,USA,30.0
103136,P1009,USB-C Hub,2,2024-05-06,45.0,10366,United Kingdom,90.0
103136,P1010,Ergonomic Chair Cushion,4,2023-07-24,30.0,11035,Singapore,120.0
103136,P1009,USB-C Hub,4,2024-02-17,45.0,10741,USA,180.0
103137,P1005,HD Webcam,5,2024-11-11,65.0,11792,France,325.0
103137,P1009,USB-C Hub,1,2024-11-16,45.0,11972,India,45.0
103138,P1004,Noise Cancelling Headphones,5,2023-10-08,120.0,11719,France,600.0
103139,P1002,USB Keyboard,3,2023-09-16,25.5,11931,France,76.5
103139,P1003,Laptop Stand,5,2023-01-30,35.0,11750,United Kingdom,175.0
103139,P1001,Wireless Mouse,5,2023-04-13,15.99,11000,France,79.95
103140,P1005,HD Webcam,5,2023-02-27,65.0,11349,USA,325.0
103140,P1001,Wireless Mouse,2,2024-05-30,15.99,11119,USA,31.98
103141,P1001,Wireless Mouse,2,2024-03-31,15.99,10626,India,31.98
103142,P1007,Gaming Mousepad,3,2024-02-07,18.75,11010,UAE,56.25
103142,P1002,USB Keyboard,1,2024-08-19,25.5,11254,Germany,25.5
103142,P1008,External SSD 1TB,4,2023-01-14,140.0,10181,Netherlands,560.0
103143,P1006,Bluetooth Speaker,1,2023-12-27,55.0,11563,Singapore,55.0
103144,P1004,Noise Cancelling Headphones,4,2023-07-30,120.0,11225,United Kingdom,480.0
103144,P1009,USB-C Hub,2,2024-05-04,45.0,10719,France,90.0
103144,P1010,Ergonomic Chair Cushion,5,2024-01-14,30.0,11140,Singapore,150.0
103145,P1008,External SSD 1TB,3,2024-12-20,140.0,10636,France,420.0
103145,P1010,Ergonomic Chair Cushion,3,2024-08-08,30.0,10339,UAE,90.0
103145,P1003,Laptop Stand,3,2023-03-07,35.0,11335,USA,105.0
103145,P1003,Laptop Stand,1,2024-07-30,35.0,10597,USA,35.0
103146,P1004,Noise Cancelling Headphones,2,2024-01-27,120.0,11527,Germany,240.0
103146,P1009,USB-C Hub,2,2023-02-08,45.0,10553,Germany,90.0
103147,P1009,USB-C Hub,5,2023-03-05,45.0,10828,France,225.0
103148,P1005,HD Webcam,1,2023-05-03,65.0,10791,USA,65.0
103148,P1009,USB-C Hub,5,2023-07-29,45.0,10605,Germany,225.0
103148,P1006,Bluetooth Speaker,4,2023-04-16,55.0,11997,France,220.0
103149,P1008,External SSD 1TB,2,2023-08-27,140.0,11369,UAE,280.0
103150,P1008,External SSD 1TB,3,2024-05-17,140.0,11607,Singapore,420.0
103151,P1010,Ergonomic Chair Cushion,5,2024-04-16,30.0,10281,Singapore,150.0
103151,P1007,Gaming Mousepad,4,2024-05-09,18.75,10174,USA,75.0
103152,P1004,Noise Cancelling Headphones,3,2024-11-19,120.0,10917,USA,360.0
103152,P1004,Noise Cancelling Headphones,3,2024-08-07,120.0,10687,UAE,360.0
103152,P1006,Bluetooth Speaker,5,2023-12-01,55.0,10423,France,275.0
103152,P1009,USB-C Hub,5,2023-10-31,45.0,10395,France,225.0
103153,P1007,Gaming Mousepad,5,2024-12-17,18.75,10575,Singapore,93.75
103154,P1005,HD Webcam,2,2024-07-25,65.0,10392,Netherlands,130.0
103154,P1005,HD Webcam,1,2024-07-26,65.0,10221,France,65.0
103154,P1008,External SSD 1TB,5,2024-01-09,140.0,11444,Germany,700.0
103155,P1006,Bluetooth Speaker,2,2024-07-09,55.0,11169,USA,110.0
103155,P1001,Wireless Mouse,1,2023-06-28,15.99,10295,USA,15.99
103155,P1001,Wireless Mouse,4,2023-02-02,15.99,10290,India,63.96
103156,P1009,USB-C Hub,1,2024-10-11,45.0,10500,Singapore,45.0
103156,P1008,External SSD 1TB,2,2024-03-15,140.0,10659,UAE,280.0
103156,P1006,Bluetooth Speaker,2,2023-09-17,55.0,10444,United Kingdom,110.0
103156,P1001,Wireless Mouse,1,2023-12-24,15.99,10139,United Kingdom,15.99
103157,P1002,USB Keyboard,1,2024-11-06,25.5,11980,United Kingdom,25.5
103157,P1010,Ergonomic Chair Cushion,2,2024-06-05,30.0,11082,United Kingdom,60.0
103157,P1003,Laptop Stand,2,2024-12-25,35.0,10744,USA,70.0
103158,P1010,Ergonomic Chair Cushion,4,2024-11-08,30.0,11005,France,120.0
103158,P1003,Laptop Stand,2,2023-06-23,35.0,10119,India,70.0
103158,P1002,USB Keyboard,2,2023-07-14,25.5,10939,UAE,51.0
103158,P1002,USB Keyboard,3,2023-01-29,25.5,11188,Singapore,76.5
103159,P1006,Bluetooth Speaker,3,2024-09-04,55.0,11771,UAE,165.0
103159,P1007,Gaming Mousepad,3,2023-07-07,18.75,10294,Netherlands,56.25
103159,P1004,Noise Cancelling Headphones,5,2023-07-06,120.0,10694,France,600.0
103160,P1001,Wireless Mouse,5,2023-05-13,15.99,11181,India,79.95
103160,P1006,Bluetooth Speaker,2,2023-01-03,55.0,11602,Germany,110.0
103161,P1007,Gaming Mousepad,3,2023-12-16,18.75,11137,Germany,56.25
103162,P1004,Noise Cancelling Headphones,4,2023-02-09,120.0,10327,Netherlands,480.0
103162,P1006,Bluetooth Speaker,4,2024-06-03,55.0,10564,India,220.0
103163,P1009,USB-C Hub,4,2023-04-18,45.0,11705,Singapore,180.0
103164,P1004,Noise Cancelling Headphones,2,2023-07-03,120.0,10283,India,240.0
103165,P1010,Ergonomic Chair Cushion,3,2024-01-09,30.0,10486,Germany,90.0
103166,P1004,Noise Cancelling Headphones,2,2024-03-13,120.0,11590,India,240.0
103166,P1010,Ergonomic Chair Cushion,2,2023-03-25,30.0,10192,United Kingdom,60.0
103167,P1005,HD Webcam,4,2023-09-19,65.0,11616,USA,260.0
103168,P1003,Laptop Stand,3,2023-03-15,35.0,11294,Netherlands,105.0
103168,P1010,Ergonomic Chair Cushion,5,2023-11-05,30.0,11744,India,150.0
103169,P1002,USB Keyboard,1,2023-10-09,25.5,10523,USA,25.5
103169,P1009,USB-C Hub,2,2023-02-22,45.0,10999,United Kingdom,90.0
103169,P1001,Wireless Mouse,3,2024-07-26,15.99,10316,Singapore,47.97
103169,P1005,HD Webcam,1,2024-12-08,65.0,11170,Netherlands,65.0
103170,P1005,HD Webcam,1,2024-04-16,65.0,10600,United Kingdom,65.0
103170,P1008,External SSD 1TB,5,2024-06-08,140.0,10940,Singapore,700.0
103170,P1006,Bluetooth Speaker,5,2024-12-07,55.0,11274,USA,275.0
103171,P1006,Bluetooth Speaker,2,2024-05-01,55.0,11957,Netherlands,110.0
103171,P1006,Bluetooth Speaker,2,2024-11-15,55.0,11730,Netherlands,110.0
103171,P1004,Noise Cancelling Headphones,3,2024-02-14,120.0,10757,Netherlands,360.0
103172,P1001,Wireless Mouse,5,2023-02-25,15.99,11401,Singapore,79.95
103173,P1003,Laptop Stand,5,2024-06-18,35.0,11986,United Kingdom,175.0
103173,P1010,Ergonomic Chair Cushion,3,2024-07-04,30.0,10300,Singapore,90.0
103174,P1006,Bluetooth Speaker,5,2024-08-31,55.0,10106,Singapore,275.0
103174,P1005,HD Webcam,4,2023-10-04,65.0,11547,UAE,260.0
103174,P1010,Ergonomic Chair Cushion,1,2023-05-22,30.0,11095,India,30.0
103175,P1001,Wireless Mouse,4,2024-05-04,15.99,10689,USA,63.96
103175,P1005,HD Webcam,1,2023-08-24,65.0,11778,United Kingdom,65.0
103176,P1002,USB Keyboard,3,2024-01-31,25.5,10223,Singapore,76.5
103176,P1001,Wireless Mouse,3,2023-11-26,15.99,11365,UAE,47.97
103177,P1004,Noise Cancelling Headphones,1,2024-03-06,120.0,11037,Singapore,120.0
103178,P1006,Bluetooth Speaker,1,2024-02-13,55.0,10975,United Kingdom,55.0
103178,P1007,Gaming Mousepad,1,2024-05-06,18.75,11018,Singapore,18.75
103178,P1009,USB-C Hub,1,2024-09-19,45.0,11302,UAE,45.0
103179,P1005,HD Webcam,2,2023-04-03,65.0,11485,France,130.0
103180,P1008,External SSD 1TB,5,2023-05-02,140.0,11264,France,700.0
103181,P1008,External SSD 1TB,5,2023-07-18,140.0,11231,India,700.0
103181,P1009,USB-C Hub,3,2023-08-30,45.0,10673,Germany,135.0
103181,P1003,Laptop Stand,2,2023-04-03,35.0,10938,United Kingdom,70.0
103182,P1003,Laptop Stand,1,2023-03-21,35.0,10120,United Kingdom,35.0
103182,P1009,USB-C Hub,2,2023-11-24,45.0,10849,France,90.0
103182,P1007,Gaming Mousepad,1,2024-03-18,18.75,11403,France,18.75
103183,P1004,Noise Cancelling Headphones,5,2023-01-20,120.0,10674,Germany,600.0
103183,P1001,Wireless Mouse,1,2024-09-25,15.99,10472,Germany,15.99
103183,P1007,Gaming Mousepad,5,2024-10-20,18.75,10180,France,93.75
103183,P1010,Ergonomic Chair Cushion,1,2023-03-03,30.0,10141,UAE,30.0
103184,P1006,Bluetooth Speaker,3,2023-10-12,55.0,11507,UAE,165.0
103184,P1003,Laptop Stand,5,2023-12-14,35.0,11639,Germany,175.0
103184,P1005,HD Webcam,3,2023-12-03,65.0,10066,Germany,195.0
103184,P1003,Laptop Stand,2,2024-05-30,35.0,11729,USA,70.0
103185,P1008,External SSD 1TB,1,2023-02-21,140.0,11509,United Kingdom,140.0
103185,P1005,HD Webcam,2,2023-04-08,65.0,11590,India,130.0
103186,P1010,Ergonomic Chair Cushion,1,2023-01-30,30.0,11321,Germany,30.0
103186,P1010,Ergonomic Chair Cushion,5,2024-11-29,30.0,10085,Netherlands,150.0
103186,P1006,Bluetooth Speaker,1,2023-11-16,55.0,11368,USA,55.0
103187,P1002,USB Keyboard,4,2024-11-08,25.5,11689,India,102.0
103187,P1008,External SSD 1TB,4,2023-10-26,140.0,10711,UAE,560.0
103187,P1009,USB-C Hub,4,2023-12-18,45.0,11178,France,180.0
103187,P1003,Laptop Stand,3,2023-08-14,35.0,10887,USA,105.0
103188,P1006,Bluetooth Speaker,4,2024-05-07,55.0,11112,USA,220.0
103188,P1006,Bluetooth Speaker,1,2023-07-29,55.0,11662,Singapore,55.0
103189,P1002,USB Keyboard,2,2024-10-07,25.5,10805,France,51.0
103189,P1010,Ergonomic Chair Cushion,3,2023-09-16,30.0,10348,India,90.0
103190,P1008,External SSD 1TB,5,2024-02-28,140.0,10104,USA,700.0
103190,P1005,HD Webcam,3,2023-04-25,65.0,11042,India,195.0
103191,P1008,External SSD 1TB,2,2023-06-28,140.0,10378,UAE,280.0
103191,P1008,External SSD 1TB,4,2024-02-15,140.0,11593,USA,560.0
103191,P1003,Laptop Stand,2,2024-02-25,35.0,10261,Singapore,70.0
103191,P1005,HD Webcam,3,2023-01-26,65.0,10043,United Kingdom,195.0
103192,P1007,Gaming Mousepad,3,2024-12-18,18.75,10512,Netherlands,56.25
103192,P1005,HD Webcam,3,2024-11-30,65.0,10224,Germany,195.0
103192,P1006,Bluetooth Speaker,2,2023-12-22,55.0,10875,India,110.0
103193,P1002,USB Keyboard,1,2024-08-22,25.5,11693,Singapore,25.5
103194,P1008,External SSD 1TB,1,2024-10-22,140.0,10719,United Kingdom,140.0
103194,P1005,HD Webcam,4,2024-03-01,65.0,11489,France,260.0
103195,P1006,Bluetooth Speaker,5,2023-04-06,55.0,11742,Germany,275.0
103195,P1001,Wireless Mouse,2,2024-04-03,15.99,10178,UAE,31.98
103195,P1010,Ergonomic Chair Cushion,1,2023-11-10,30.0,11598,Netherlands,30.0
103195,P1002,USB Keyboard,4,2023-09-13,25.5,11380,Singapore,102.0
103196,P1004,Noise Cancelling Headphones,5,2024-08-15,120.0,10028,Netherlands,600.0
103196,P1009,USB-C Hub,4,2024-07-27,45.0,10079,France,180.0
103196,P1006,Bluetooth Speaker,4,2023-11-19,55.0,10527,United Kingdom,220.0
103196,P1008,External SSD 1TB,5,2023-05-27,140.0,11876,United Kingdom,700.0
103197,P1002,USB Keyboard,3,2023-12-29,25.5,10893,France,76.5
103198,P1010,Ergonomic Chair Cushion,1,2023-12-19,30.0,10429,Netherlands,30.0
103199,P1005,HD Webcam,1,2024-05-11,65.0,11687,USA,65.0
103199,P1001,Wireless Mouse,5,2024-09-14,15.99,11133,UAE,79.95
103199,P1004,Noise Cancelling Headphones,1,2023-05-13,120.0,11762,Germany,120.0
103199,P1010,Ergonomic Chair Cushion,2,2023-07-13,30.0,10747,Singapore,60.0
103200,P1001,Wireless Mouse,2,2024-06-04,15.99,11066,Singapore,31.98
103200,P1009,USB-C Hub,2,2023-06-18,45.0,11358,Netherlands,90.0
103200,P1002,USB Keyboard,5,2024-10-26,25.5,10547,France,127.5
103201,P1007,Gaming Mousepad,4,2024-09-19,18.75,10526,Singapore,75.0
103202,P1003,Laptop Stand,4,2024-08-18,35.0,11486,Germany,140.0
103202,P1002,USB Keyboard,3,2024-01-31,25.5,10813,Germany,76.5
